From,To,Weight
sf58,sf343,1
sf58,sf80,1
sf58,sf21,1
sf58,sf15,5
sf58,sf8,4
sf58,sf76,3
sf58,sf20,1
sf58,sf27,1
sf58,sf3,2
sf58,sf70,1
sf58,sf356,1
sf58,sf53,3
sf58,sf112,1
sf58,sf75,1
sf58,sf25,1
sf58,sf4,1
sf58,sf118,1
sf58,sf59,1
sf310,sf296,2
sf310,sf310,3
sf310,sf327,2
sf310,sf305,1
sf310,sf208,1
sf310,sf309,5
sf310,sf312,1
sf310,sf279,1
sf345,sf81,2
sf345,sf139,1
sf345,sf321,2
sf345,sf114,2
sf345,sf345,4
sf345,sf9,2
sf345,sf323,1
sf345,sf85,1
sf345,sf87,1
sf345,sf102,1
sf34,sf61,1
sf34,sf121,1
sf34,sf62,1
sf34,sf34,2
sf34,sf31,1
sf34,sf71,1
sf34,sf3,2
sf141,sf109,2
sf141,sf127,3
sf141,sf120,1
sf141,sf5,1
sf141,sf139,1
sf141,sf121,1
sf141,sf133,2
sf141,sf98,2
sf141,sf147,1
sf223,sf109,1
sf223,sf74,3
sf223,sf58,1
sf223,sf133,1
sf223,sf76,1
sf223,sf124,2
sf223,sf100,1
sf223,sf53,1
sf223,sf119,1
sf223,sf112,1
sf223,sf73,1
sf223,sf75,2
sf223,sf85,1
sf223,sf97,2
sf223,sf138,1
sf317,sf278,1
sf317,sf296,2
sf130,sf144,1
sf130,sf58,1
sf130,sf19,1
sf130,sf113,1
sf130,sf85,1
sf282,sf305,2
sf282,sf286,1
sf282,sf287,2
sf160,sf159,1
sf160,sf213,1
sf160,sf235,2
sf160,sf236,1
sf160,sf160,1
sf160,sf219,1
sf160,sf216,1
sf160,sf218,2
sf313,sf278,2
sf313,sf289,2
sf313,sf291,4
sf313,sf208,1
sf313,sf277,1
sf313,sf300,1
sf196,sf7,2
sf196,sf195,2
sf196,sf200,1
sf196,sf196,5
sf196,sf213,1
sf196,sf181,2
sf196,sf183,1
sf196,sf197,2
sf196,sf194,1
sf196,sf182,2
sf196,sf211,1
sf121,sf127,5
sf121,sf120,1
sf121,sf5,2
sf121,sf324,2
sf121,sf74,1
sf121,sf139,1
sf121,sf58,1
sf121,sf62,2
sf121,sf34,1
sf121,sf31,1
sf121,sf98,1
sf121,sf132,1
sf121,sf76,1
sf121,sf141,1
sf121,sf88,2
sf121,sf113,1
sf121,sf99,1
sf150,sf176,1
sf150,sf214,1
sf150,sf150,1
sf150,sf257,2
sf150,sf222,1
sf150,sf337,1
sf316,sf275,2
sf316,sf295,1
sf203,sf195,1
sf203,sf200,7
sf203,sf203,1
sf203,sf197,1
sf203,sf175,1
sf203,sf201,1
sf203,sf162,1
sf343,sf64,1
sf343,sf50,2
sf343,sf21,4
sf343,sf6,1
sf343,sf14,1
sf343,sf323,1
sf343,sf60,1
sf106,sf64,1
sf106,sf107,1
sf106,sf86,1
sf106,sf31,1
sf106,sf133,1
sf127,sf109,2
sf127,sf120,1
sf127,sf107,2
sf127,sf121,4
sf127,sf98,1
sf127,sf141,1
sf127,sf119,1
sf127,sf223,1
sf127,sf56,1
sf127,sf108,1
sf277,sf277,3
sf277,sf314,2
sf277,sf312,1
sf277,sf304,2
sf307,sf208,2
sf307,sf307,4
sf318,sf318,1
sf318,sf308,1
sf265,sf18,1
sf265,sf252,2
sf265,sf257,2
sf265,sf265,1
sf75,sf74,1
sf75,sf86,1
sf75,sf58,2
sf75,sf17,1
sf75,sf95,1
sf75,sf80,1
sf75,sf27,2
sf75,sf70,3
sf75,sf16,3
sf75,sf113,1
sf75,sf89,1
sf75,sf119,1
sf75,sf59,3
sf278,sf276,3
sf278,sf286,1
sf278,sf341,1
sf278,sf287,2
sf278,sf283,1
sf278,sf298,1
sf278,sf312,1
sf278,sf303,1
sf278,sf290,1
sf341,sf277,2
sf341,sf341,1
sf341,sf287,1
sf147,sf134,1
sf147,sf133,2
sf147,sf146,3
sf147,sf100,1
sf147,sf119,1
sf147,sf147,1
sf147,sf110,1
sf84,sf120,2
sf84,sf134,1
sf84,sf36,1
sf84,sf86,3
sf84,sf21,3
sf84,sf349,1
sf84,sf71,3
sf84,sf70,1
sf84,sf6,1
sf84,sf9,1
sf84,sf125,1
sf84,sf129,1
sf84,sf119,1
sf78,sf81,1
sf78,sf61,1
sf78,sf139,1
sf78,sf62,2
sf78,sf80,1
sf78,sf116,1
sf78,sf67,1
sf78,sf3,1
sf78,sf78,1
sf78,sf91,1
sf309,sf276,1
sf309,sf310,4
sf309,sf307,2
sf309,sf286,2
sf309,sf309,3
sf187,sf7,1
sf187,sf163,1
sf187,sf195,1
sf187,sf196,2
sf187,sf213,1
sf187,sf183,2
sf187,sf232,2
sf187,sf158,1
sf187,sf198,1
sf187,sf182,2
sf187,sf187,2
sf172,sf189,2
sf172,sf187,1
sf70,sf120,1
sf70,sf39,2
sf70,sf61,1
sf70,sf144,2
sf70,sf139,1
sf70,sf44,2
sf70,sf41,2
sf70,sf86,3
sf70,sf58,1
sf70,sf114,1
sf70,sf98,1
sf70,sf71,1
sf70,sf3,1
sf70,sf70,25
sf70,sf47,1
sf70,sf10,3
sf70,sf53,2
sf70,sf125,1
sf70,sf97,1
sf70,sf52,1
sf70,sf118,1
sf70,sf285,1
sf70,sf72,6
sf244,sf259,1
sf244,sf250,1
sf244,sf266,1
sf244,sf263,2
sf244,sf238,1
sf244,sf248,1
sf244,sf171,2
sf244,sf271,1
sf52,sf5,2
sf52,sf61,1
sf52,sf43,1
sf52,sf58,1
sf52,sf114,3
sf52,sf132,1
sf52,sf349,1
sf52,sf71,1
sf52,sf70,2
sf52,sf89,1
sf52,sf53,1
sf52,sf52,2
sf52,sf42,1
sf53,sf324,1
sf53,sf43,7
sf53,sf26,1
sf53,sf31,1
sf53,sf3,1
sf53,sf70,2
sf53,sf33,2
sf53,sf29,3
sf53,sf72,1
sf104,sf144,1
sf104,sf21,1
sf104,sf93,1
sf104,sf284,1
sf104,sf124,1
sf104,sf16,4
sf104,sf13,1
sf104,sf29,1
sf204,sf272,1
sf204,sf158,2
sf204,sf175,1
sf246,sf259,2
sf246,sf18,1
sf246,sf242,1
sf246,sf252,1
sf246,sf254,2
sf246,sf238,1
sf246,sf245,1
sf246,sf246,1
sf179,sf156,2
sf179,sf183,1
sf179,sf202,1
sf179,sf197,1
sf179,sf182,1
sf179,sf187,2
sf179,sf211,2
sf183,sf163,1
sf183,sf195,4
sf183,sf196,1
sf183,sf179,1
sf183,sf197,1
sf183,sf187,4
sf183,sf193,1
sf249,sf267,2
sf249,sf166,2
sf249,sf266,5
sf249,sf273,2
sf64,sf64,1
sf64,sf120,1
sf64,sf61,1
sf64,sf126,2
sf64,sf86,1
sf64,sf62,2
sf64,sf93,1
sf64,sf8,1
sf64,sf70,1
sf64,sf9,1
sf64,sf79,1
sf64,sf75,1
sf114,sf130,1
sf114,sf50,1
sf114,sf126,2
sf114,sf321,2
sf114,sf116,1
sf114,sf114,1
sf114,sf15,1
sf114,sf345,2
sf114,sf67,1
sf114,sf70,1
sf114,sf47,1
sf114,sf10,1
sf114,sf125,2
sf114,sf323,2
sf193,sf200,2
sf193,sf181,4
sf193,sf197,1
sf193,sf198,1
sf193,sf194,1
sf193,sf212,1
sf193,sf162,1
sf79,sf90,1
sf79,sf61,1
sf79,sf67,3
sf79,sf47,1
sf79,sf33,1
sf3,sf109,1
sf3,sf39,1
sf3,sf5,1
sf3,sf107,3
sf3,sf41,1
sf3,sf36,2
sf3,sf62,1
sf3,sf17,1
sf3,sf24,1
sf3,sf116,2
sf3,sf11,2
sf3,sf21,1
sf3,sf15,1
sf3,sf93,1
sf3,sf8,1
sf3,sf3,11
sf3,sf16,5
sf3,sf30,1
sf3,sf47,2
sf3,sf6,11
sf3,sf88,1
sf3,sf10,3
sf3,sf9,1
sf3,sf33,1
sf3,sf75,2
sf3,sf123,1
sf3,sf285,1
sf3,sf56,2
sf355,sf15,1
sf355,sf133,1
sf355,sf323,2
sf306,sf318,2
sf306,sf303,1
sf47,sf64,1
sf47,sf92,1
sf47,sf5,2
sf47,sf324,2
sf47,sf61,1
sf47,sf44,1
sf47,sf107,1
sf47,sf126,5
sf47,sf17,1
sf47,sf66,1
sf47,sf284,3
sf47,sf67,1
sf47,sf3,1
sf47,sf14,1
sf47,sf23,2
sf47,sf9,2
sf47,sf33,1
sf175,sf170,1
sf175,sf210,1
sf175,sf171,1
sf175,sf206,1
sf280,sf282,1
sf280,sf311,1
sf164,sf215,1
sf170,sf158,1
sf62,sf5,1
sf62,sf61,2
sf62,sf44,1
sf62,sf58,1
sf62,sf62,1
sf62,sf114,2
sf62,sf21,2
sf62,sf34,3
sf62,sf66,3
sf62,sf16,1
sf62,sf19,1
sf62,sf23,3
sf62,sf9,1
sf62,sf89,1
sf62,sf323,1
sf62,sf25,1
sf36,sf139,1
sf36,sf66,2
sf36,sf8,3
sf36,sf349,1
sf36,sf27,1
sf36,sf3,2
sf36,sf30,1
sf36,sf47,1
sf36,sf23,1
sf36,sf9,3
sf36,sf89,3
sf36,sf37,1
sf37,sf64,1
sf37,sf66,1
sf37,sf10,1
sf37,sf9,1
sf37,sf37,1
sf37,sf110,3
sf42,sf41,1
sf42,sf70,3
sf42,sf16,2
sf42,sf42,1
sf42,sf29,1
sf305,sf317,1
sf305,sf35,1
sf305,sf305,1
sf305,sf287,3
sf305,sf303,1
sf305,sf290,1
sf266,sf259,3
sf266,sf239,1
sf266,sf270,1
sf266,sf258,2
sf266,sf244,1
sf266,sf190,1
sf266,sf247,4
sf266,sf238,3
sf266,sf248,2
sf266,sf198,1
sf266,sf246,2
sf181,sf186,1
sf181,sf181,2
sf181,sf183,1
sf181,sf203,2
sf181,sf197,2
sf181,sf182,1
sf181,sf178,1
sf181,sf212,1
sf181,sf211,1
sf181,sf193,2
sf181,sf207,3
sf181,sf192,1
sf99,sf74,2
sf99,sf96,1
sf99,sf139,2
sf99,sf62,2
sf99,sf15,3
sf99,sf132,1
sf99,sf113,1
sf99,sf356,1
sf99,sf110,1
sf270,sf155,2
sf270,sf241,1
sf270,sf242,1
sf270,sf263,1
sf20,sf20,1
sf20,sf3,1
sf20,sf9,1
sf20,sf4,1
sf252,sf259,3
sf252,sf175,1
sf252,sf249,1
sf252,sf171,1
sf252,sf271,1
sf252,sf246,1
sf274,sf259,4
sf274,sf239,1
sf274,sf250,1
sf274,sf241,2
sf274,sf252,1
sf274,sf272,1
sf39,sf64,2
sf39,sf26,1
sf39,sf17,2
sf39,sf3,1
sf39,sf6,1
sf39,sf285,1
sf49,sf96,1
sf49,sf144,1
sf49,sf139,1
sf49,sf22,1
sf49,sf323,2
sf49,sf73,1
sf107,sf90,1
sf107,sf122,1
sf107,sf74,1
sf107,sf349,2
sf107,sf141,1
sf107,sf356,1
sf107,sf119,1
sf107,sf78,1
sf107,sf223,2
sf138,sf127,1
sf138,sf50,1
sf138,sf144,1
sf138,sf145,1
sf138,sf132,1
sf138,sf99,1
sf138,sf129,1
sf138,sf118,1
sf138,sf140,1
sf212,sf176,1
sf212,sf166,1
sf212,sf18,2
sf212,sf181,1
sf212,sf203,1
sf212,sf202,1
sf212,sf160,1
sf212,sf173,1
sf212,sf212,1
sf212,sf162,2
sf212,sf152,1
sf212,sf192,1
sf212,sf206,1
sf250,sf259,1
sf250,sf250,1
sf250,sf263,2
sf250,sf254,2
sf250,sf257,6
sf97,sf90,1
sf97,sf121,1
sf97,sf98,1
sf97,sf67,1
sf97,sf3,1
sf97,sf70,1
sf97,sf89,1
sf97,sf119,1
sf97,sf75,1
sf97,sf59,1
sf254,sf247,1
sf254,sf238,1
sf254,sf189,1
sf254,sf245,2
sf254,sf243,1
sf254,sf274,1
sf254,sf246,4
sf291,sf291,3
sf291,sf308,4
sf291,sf313,4
sf291,sf295,1
sf239,sf259,1
sf239,sf267,1
sf239,sf239,2
sf239,sf247,2
sf239,sf263,1
sf239,sf238,2
sf239,sf245,5
sf239,sf268,1
sf356,sf120,2
sf356,sf41,1
sf356,sf21,2
sf356,sf15,2
sf356,sf133,2
sf356,sf19,1
sf356,sf33,1
sf356,sf112,1
sf356,sf147,1
sf197,sf163,2
sf197,sf195,2
sf197,sf174,1
sf197,sf200,8
sf197,sf214,1
sf197,sf269,2
sf197,sf210,2
sf197,sf196,1
sf197,sf186,2
sf197,sf181,1
sf197,sf189,4
sf197,sf203,1
sf197,sf179,1
sf197,sf202,1
sf197,sf220,1
sf197,sf197,12
sf197,sf187,1
sf197,sf211,1
sf197,sf233,1
sf194,sf259,2
sf194,sf203,1
sf194,sf194,1
sf194,sf182,1
sf289,sf310,1
sf289,sf289,1
sf289,sf292,2
sf133,sf127,1
sf133,sf120,1
sf133,sf139,6
sf133,sf134,4
sf133,sf41,1
sf133,sf121,1
sf133,sf15,2
sf133,sf345,1
sf133,sf133,1
sf133,sf98,1
sf133,sf3,2
sf133,sf141,2
sf133,sf70,1
sf133,sf84,2
sf133,sf356,1
sf133,sf119,1
sf133,sf147,1
sf133,sf85,1
sf133,sf106,1
sf56,sf5,2
sf56,sf107,1
sf56,sf86,2
sf56,sf21,1
sf56,sf16,1
sf56,sf119,2
sf56,sf42,1
sf56,sf106,2
sf76,sf120,1
sf76,sf5,4
sf76,sf44,2
sf76,sf58,1
sf76,sf145,1
sf76,sf14,1
sf76,sf25,1
sf108,sf115,1
sf108,sf74,1
sf108,sf356,1
sf108,sf123,1
sf108,sf110,1
sf213,sf213,2
sf213,sf160,1
sf213,sf194,1
sf213,sf182,1
sf213,sf212,1
sf213,sf218,1
sf157,sf155,1
sf157,sf270,1
sf157,sf148,1
sf157,sf157,6
sf157,sf257,1
sf157,sf194,2
sf157,sf149,1
sf222,sf163,1
sf222,sf222,3
sf35,sf276,7
sf35,sf314,1
sf119,sf120,1
sf119,sf324,1
sf119,sf121,1
sf119,sf98,1
sf119,sf71,3
sf119,sf3,2
sf119,sf70,2
sf119,sf84,1
sf119,sf105,1
sf119,sf119,1
sf119,sf112,1
sf119,sf85,1
sf119,sf285,2
sf119,sf60,1
sf119,sf223,1
sf119,sf29,1
sf243,sf259,8
sf243,sf240,1
sf243,sf239,3
sf243,sf258,1
sf243,sf247,1
sf243,sf251,1
sf243,sf254,1
sf243,sf245,7
sf243,sf274,1
sf243,sf256,1
sf168,sf155,1
sf168,sf189,1
sf168,sf157,2
sf168,sf249,1
sf178,sf7,1
sf178,sf174,1
sf178,sf159,1
sf178,sf182,1
sf234,sf227,1
sf118,sf127,1
sf118,sf74,2
sf118,sf96,1
sf118,sf84,2
sf118,sf356,1
sf118,sf118,2
sf118,sf285,2
sf118,sf223,1
sf118,sf110,1
sf158,sf195,2
sf158,sf270,1
sf158,sf173,1
sf290,sf276,1
sf290,sf305,1
sf116,sf50,1
sf116,sf114,1
sf116,sf34,1
sf116,sf20,2
sf116,sf100,1
sf116,sf112,1
sf116,sf78,1
sf116,sf355,1
sf202,sf163,1
sf202,sf200,1
sf202,sf150,1
sf202,sf202,2
sf202,sf197,1
sf202,sf182,1
sf202,sf212,2
sf285,sf130,2
sf285,sf324,4
sf285,sf107,1
sf285,sf41,2
sf285,sf86,1
sf285,sf58,2
sf285,sf93,1
sf285,sf71,1
sf285,sf3,2
sf285,sf70,3
sf285,sf6,2
sf285,sf323,3
sf272,sf166,3
sf272,sf266,1
sf272,sf241,2
sf272,sf210,1
sf272,sf272,1
sf272,sf168,2
sf272,sf187,1
sf210,sf272,1
sf210,sf197,1
sf210,sf182,2
sf210,sf171,2
sf210,sf187,2
sf210,sf193,2
sf71,sf39,1
sf71,sf43,1
sf71,sf41,1
sf71,sf71,6
sf71,sf70,1
sf71,sf16,1
sf71,sf6,2
sf71,sf73,1
sf71,sf223,1
sf43,sf81,1
sf43,sf115,1
sf43,sf74,1
sf43,sf95,2
sf43,sf11,1
sf43,sf34,1
sf43,sf133,1
sf43,sf8,1
sf43,sf70,5
sf43,sf19,1
sf43,sf30,2
sf43,sf9,1
sf43,sf55,1
sf43,sf60,1
sf77,sf43,2
sf77,sf139,1
sf77,sf89,1
sf77,sf78,1
sf338,sf203,1
sf338,sf233,1
sf59,sf130,1
sf59,sf90,1
sf59,sf122,1
sf59,sf86,1
sf59,sf98,1
sf59,sf76,1
sf59,sf27,2
sf59,sf100,1
sf59,sf112,1
sf59,sf223,3
sf29,sf34,2
sf29,sf93,1
sf29,sf70,2
sf29,sf6,3
sf29,sf119,1
sf29,sf29,1
sf314,sf35,1
sf89,sf109,1
sf89,sf120,1
sf89,sf28,1
sf89,sf115,1
sf89,sf121,1
sf89,sf58,2
sf89,sf62,2
sf89,sf95,1
sf89,sf113,1
sf89,sf125,2
sf89,sf97,3
sf55,sf120,2
sf55,sf139,1
sf55,sf98,1
sf55,sf3,1
sf55,sf16,1
sf55,sf323,2
sf90,sf90,1
sf90,sf120,2
sf90,sf107,1
sf90,sf24,1
sf90,sf67,1
sf90,sf70,1
sf90,sf88,1
sf90,sf110,1
sf90,sf59,1
sf4,sf43,1
sf4,sf93,1
sf4,sf47,1
sf4,sf10,3
sf4,sf146,1
sf4,sf323,1
sf4,sf97,1
sf4,sf4,1
sf297,sf278,1
sf113,sf109,1
sf113,sf115,2
sf113,sf121,1
sf113,sf100,2
sf113,sf89,1
sf113,sf125,2
sf113,sf99,1
sf113,sf119,1
sf113,sf138,1
sf140,sf115,2
sf140,sf112,1
sf140,sf123,1
sf140,sf140,1
sf112,sf139,1
sf112,sf134,1
sf112,sf58,1
sf112,sf21,1
sf112,sf113,1
sf112,sf356,1
sf112,sf125,3
sf112,sf59,1
sf112,sf140,1
sf198,sf200,1
sf198,sf196,3
sf198,sf197,3
sf198,sf194,2
sf214,sf195,1
sf214,sf176,3
sf214,sf148,2
sf214,sf196,1
sf214,sf337,2
sf188,sf189,2
sf188,sf158,1
sf80,sf5,2
sf80,sf350,1
sf80,sf74,3
sf80,sf62,2
sf80,sf114,1
sf80,sf67,1
sf312,sf310,1
sf312,sf289,1
sf312,sf314,1
sf312,sf312,1
sf273,sf247,1
sf273,sf210,1
sf273,sf273,1
sf273,sf248,1
sf273,sf274,1
sf273,sf206,1
sf253,sf240,2
sf253,sf242,1
sf253,sf252,2
sf253,sf263,8
sf253,sf238,1
sf253,sf245,6
sf253,sf243,7
sf253,sf171,3
sf253,sf172,2
sf253,sf167,2
sf18,sf315,2
sf18,sf245,1
sf18,sf168,1
sf18,sf171,1
sf18,sf169,1
sf18,sf207,2
sf102,sf115,2
sf102,sf134,1
sf284,sf92,1
sf284,sf61,1
sf284,sf62,1
sf284,sf26,2
sf284,sf8,1
sf284,sf71,1
sf284,sf27,2
sf284,sf3,2
sf284,sf47,3
sf284,sf23,1
sf284,sf73,2
sf284,sf25,3
sf284,sf91,2
sf174,sf176,1
sf174,sf266,1
sf174,sf190,1
sf174,sf245,1
sf211,sf195,1
sf211,sf176,2
sf211,sf203,1
sf211,sf179,1
sf211,sf197,1
sf211,sf222,1
sf211,sf178,2
sf211,sf152,1
sf173,sf212,1
sf173,sf172,2
sf251,sf259,1
sf251,sf7,1
sf251,sf270,2
sf251,sf157,1
sf251,sf160,1
sf251,sf271,1
sf225,sf224,1
sf225,sf237,2
sf73,sf109,1
sf73,sf95,1
sf73,sf133,1
sf73,sf98,2
sf73,sf70,1
sf73,sf53,1
sf73,sf85,1
sf73,sf72,1
sf339,sf200,1
sf339,sf194,2
sf25,sf122,1
sf25,sf61,1
sf25,sf343,1
sf25,sf8,5
sf25,sf284,2
sf25,sf6,2
sf25,sf9,1
sf242,sf18,1
sf242,sf242,3
sf242,sf196,1
sf242,sf249,2
sf292,sf305,3
sf292,sf304,1
sf137,sf137,1
sf137,sf134,2
sf137,sf145,2
sf137,sf141,1
sf137,sf146,1
sf137,sf147,1
sf137,sf140,1
sf88,sf27,1
sf88,sf88,1
sf88,sf113,2
sf88,sf78,1
sf88,sf4,1
sf88,sf285,1
sf91,sf81,3
sf91,sf126,1
sf91,sf62,1
sf91,sf15,2
sf91,sf100,1
sf91,sf9,1
sf91,sf89,1
sf91,sf78,1
sf91,sf56,1
sf91,sf91,3
sf33,sf120,2
sf33,sf350,1
sf33,sf58,1
sf33,sf62,1
sf33,sf21,2
sf33,sf356,1
sf33,sf285,1
sf191,sf7,2
sf152,sf148,1
sf149,sf252,2
sf149,sf156,2
sf149,sf149,2
sf156,sf241,1
sf156,sf242,2
sf156,sf179,1
sf156,sf151,1
sf87,sf5,2
sf87,sf350,1
sf87,sf58,1
sf87,sf71,1
sf87,sf89,1
sf87,sf77,3
sf87,sf87,1
sf87,sf91,1
sf218,sf203,1
sf218,sf160,2
sf72,sf120,1
sf72,sf44,1
sf72,sf86,1
sf72,sf34,1
sf72,sf133,1
sf72,sf3,1
sf72,sf70,1
sf72,sf14,2
sf72,sf10,2
sf72,sf29,1
sf221,sf197,2
sf271,sf259,1
sf271,sf245,1
sf281,sf276,2
sf281,sf279,1
sf154,sf274,1
sf177,sf176,1
sf177,sf183,1
sf177,sf204,1
sf129,sf62,1
sf129,sf34,1
sf129,sf133,1
sf129,sf123,1
sf129,sf60,1
sf129,sf87,2
sf129,sf108,1
sf100,sf130,1
sf100,sf129,2
sf100,sf223,1
sf100,sf87,1
sf100,sf91,1
sf215,sf176,1
sf146,sf109,1
sf146,sf134,1
sf146,sf133,1
sf146,sf141,1
sf146,sf146,1
sf146,sf129,1
sf268,sf259,1
sf268,sf263,1
sf268,sf248,1
sf268,sf245,1
sf308,sf276,1
sf308,sf291,5
sf308,sf208,4
sf308,sf277,1
sf308,sf318,3
sf308,sf309,1
sf308,sf294,2
sf207,sf181,1
sf207,sf171,1
sf207,sf193,2
sf207,sf230,1
sf110,sf109,3
sf110,sf127,1
sf110,sf107,1
sf110,sf126,2
sf110,sf321,1
sf110,sf98,1
sf110,sf119,1
sf110,sf78,1
sf110,sf110,1
sf110,sf87,1
sf336,sf5,1
sf336,sf24,1
sf235,sf148,1
sf235,sf235,1
sf235,sf236,1
sf235,sf160,3
sf235,sf187,3
sf189,sf197,4
sf189,sf173,2
sf189,sf168,5
sf189,sf204,1
sf192,sf176,1
sf192,sf181,1
sf255,sf230,1
sf255,sf255,1
sf236,sf181,1
sf236,sf183,1
sf300,sf313,1
sf340,sf243,1
sf227,sf237,1
sf201,sf197,2
sf190,sf148,1
sf219,sf7,1
sf231,sf7,1
sf159,sf7,1
sf159,sf160,1
sf159,sf182,1
sf159,sf178,1
sf46,sf203,1
sf337,sf197,1
sf337,sf162,1
sf337,sf192,1
sf220,sf197,2
sf311,sf341,2
sf303,sf341,1
sf233,sf163,1
sf288,sf288,1
sf283,sf278,1
sf63,sf114,1
sf205,sf189,1
sf205,sf204,1
sf228,sf248,1
sf327,sf296,1
sf327,sf327,1
